country,nuts3,potential,year,bark_kton,sawdust_kton
AT,AT122,BASE,2020,24.9250804845871,42.15431817383092
AT,AT122,BASE,2030,24.9250804845871,37.562729127426735
AT,AT122,HIGH,2012,0.0,0.0
AT,AT122,HIGH,2020,0.0,0.0
AT,AT122,HIGH,2030,0.0,0.0
AT,AT122,TECH,2012,29.0096374355064,47.507581251946206
AT,AT122,TECH,2020,24.9250804845871,42.15431817383092
AT,AT122,TECH,2030,24.9250804845871,37.562729127426735
AT,AT122,UD01,2012,29.0096374355064,47.507581251946206
AT,AT122,UD01,2020,24.9250804845871,42.15431817383092
AT,AT122,UD01,2030,24.9250804845871,37.562729127426735
AT,AT122,UD02,2012,0.0,47.507581251946206
AT,AT122,UD02,2020,0.0,42.15431817383092
AT,AT122,UD02,2030,0.0,37.562729127426735
AT,AT122,UD03,2012,0.0,0.0
AT,AT122,UD03,2020,0.0,0.0
AT,AT122,UD03,2030,0.0,0.0
AT,AT122,UD04,2012,0.0,0.0
AT,AT122,UD04,2020,0.0,0.0
AT,AT122,UD04,2030,0.0,0.0
AT,AT122,UD05,2012,0.0,0.0
AT,AT122,UD05,2020,0.0,0.0
AT,AT122,UD05,2030,0.0,0.0
AT,AT122,UD06,2012,0.0,0.0
AT,AT122,UD06,2020,0.0,0.0
AT,AT122,UD06,2030,0.0,0.0
AT,AT122,UD07,2012,0.0,0.0
AT,AT122,UD07,2020,0.0,0.0
AT,AT122,UD07,2030,0.0,0.0
AT,AT122,UD08,2012,0.0,0.0
AT,AT122,UD08,2020,0.0,0.0
AT,AT122,UD08,2030,0.0,0.0
AT,AT123,BASE,2012,9.66987173160716,9.243139944010267
AT,AT123,BASE,2020,8.30835379179687,8.20160176243646
AT,AT123,BASE,2030,8.30835379179687,7.308255921564797
AT,AT123,HIGH,2012,0.0,0.0
AT,AT123,HIGH,2020,0.0,0.0
AT,AT123,HIGH,2030,0.0,0.0
AT,AT123,TECH,2012,9.66987173160716,9.243139944010267
AT,AT123,TECH,2020,8.30835379179687,8.20160176243646
AT,AT123,TECH,2030,8.30835379179687,7.308255921564797
AT,AT123,UD01,2012,9.66987173160716,9.243139944010267
AT,AT123,UD01,2020,8.30835379179687,8.20160176243646
AT,AT123,UD01,2030,8.30835379179687,7.308255921564797
AT,AT123,UD02,2012,0.0,9.243139944010267
AT,AT123,UD02,2020,0.0,8.20160176243646
AT,AT123,UD02,2030,0.0,7.308255921564797
AT,AT123,UD03,2012,0.0,0.0
AT,AT123,UD03,2020,0.0,0.0
AT,AT123,UD03,2030,0.0,0.0
AT,AT123,UD04,2012,0.0,0.0
AT,AT123,UD04,2020,0.0,0.0
AT,AT123,UD04,2030,0.0,0.0
AT,AT123,UD05,2012,0.0,0.0
AT,AT123,UD05,2020,0.0,0.0
AT,AT123,UD05,2030,0.0,0.0
AT,AT123,UD06,2012,0.0,0.0
AT,AT123,UD06,2020,0.0,0.0
AT,AT123,UD06,2030,0.0,0.0
AT,AT123,UD07,2012,0.0,0.0
AT,AT123,UD07,2020,0.0,0.0
AT,AT123,UD07,2030,0.0,0.0
AT,AT123,UD08,2012,0.0,0.0
AT,AT123,UD08,2020,0.0,0.0
AT,AT123,UD08,2030,0.0,0.0
AT,AT124,BASE,2012,0.0,39.76179160809719
AT,AT124,BASE,2020,0.0,35.281341849846875
AT,AT124,BASE,2030,0.0,31.438380326612823
AT,AT124,HIGH,2012,0.0,0.0
AT,AT124,HIGH,2020,0.0,0.0
AT,AT124,HIGH,2030,0.0,0.0
AT,AT124,TECH,2012,0.0,39.76179160809719
